level,playerid,year,teamName,LeagueName,lastname,firstname,G,AB,R,H,Dbl,Tpl,HR,RBI,SB,CS,BB,IBB,SO,SH,SF,HBP,GDP,Bavg,Slg,obp,OPS,Age,HT,WT,Bats,Throws,posit,borndate,place,colleges,draft_Year,draft_Round,draft_overall,draft_teamabbr,status,teamname,CurrentTeam,X,check
2,AJacks226,2018,Geneva Red Wings,Perfect Game League,Jackson,Austin,20,64,11,22,2,1,0,8,0,0,6,0,11,1,1,6,0,0.344,0.406,0.442,0.848,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JBrook273,2010,SM Packers,California Collegiate League,Brooks,James,29,119,17,36,10,0,2,20,13,2,15,0,35,0,1,0,0,0.303,0.437,0.378,0.815,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JBrook273,2018,Kelowna Falcons,West Coast League,Brooks,James,2,4,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0.25,0.25,0.25,0.5,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AWilli386,2010,Mac-N-Seitz,MINK League,Williams,Austin,23,77,6,19,6,0,1,2,0,0,7,0,16,0,0,0,2,0.247,0.364,0.31,0.674,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AWilli386,2011,Nevada Griffons,MINK League,Williams,Austin,26,86,19,21,8,0,2,13,1,0,13,0,16,5,1,3,2,0.244,0.407,0.359,0.766,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,AWilli386,2019,Cape Catfish,Prospect League,Williams,Austin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,MMorga433,2010,Carolina Stingers,Southern Collegiate League,Morgan,Michael,20,62,11,15,3,1,0,6,2,0,8,0,13,0,0,0,3,0.242,0.323,0.329,0.652,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,MMorga433,2011,Niagara Power,New York Collegiate,Morgan,Michael,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,MMorga433,2017,Haysville Aviators,Jayhawk League,Morgan,Michael,24,61,13,18,3,0,1,8,6,2,17,0,13,3,0,1,0,0.295,0.393,0.456,0.849,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,MMorga433,2018,North Fork Ospreys,Hamptons League,Morgan,Michael,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.25,0.25,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,RWilli435,2010,New Market Rebels,Valley League,Williams,Ryan,20,63,3,11,1,1,1,4,1,1,8,0,22,0,1,2,1,0.175,0.27,0.284,0.554,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,RWilli435,2011,North Fork Ospreys,Atlantic Collegiate,Williams,Ryan,32,100,14,27,2,0,4,19,5,0,16,0,23,0,0,4,0,0.27,0.41,0,0.41,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,RWilli435,2011,Niagara Power,New York Collegiate,Williams,Ryan,43,144,22,43,8,2,0,10,11,3,19,0,22,2,0,3,2,0.299,0.382,0.392,0.774,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
3,RWilli435,2017,Anchorage Bucs,Alaska Summer League,Williams,Ryan,29,88,7,19,5,1,1,16,4,0,9,0,30,0,4,1,2,0.216,0.33,0.284,0.614,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
3,RWilli435,2018,San Diego Force,Southern California League,Williams,Ryan,26,77,13,14,5,0,2,12,10,1,13,0,25,1,1,4,2,0.182,0.325,0.326,0.651,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
3,RWilli435,2018,Inland Valley Pirates,Southern California League,Williams,Ryan,17,58,8,18,2,0,0,5,3,2,9,0,8,0,0,4,2,0.31,0.345,0.437,0.782,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
3,RWilli435,2019,San Diego Force,Southern California League,Williams,Ryan,37,140,25,37,10,3,1,32,17,2,14,0,29,3,5,4,0,0.264,0.4,0.337,0.737,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
3,RWilli435,2019,SoCal Stros,Southern California League,Williams,Ryan,21,79,19,27,4,0,0,6,2,2,13,0,19,0,1,2,0,0.342,0.392,0.442,0.834,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,TJohns515,2010,Spartanburg Blue Eagles,Southern Collegiate League,Johnson,Taylor,15,40,6,6,3,0,0,2,0,0,4,0,8,0,0,0,1,0.15,0.225,0.227,0.452,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,TJohns515,2019,Peninsula Oilers,Alaska Summer League,Johnson,Taylor,3,7,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0.125,0.125,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,MReyes539,2010,SM Packers,California Collegiate League,Reyes,Manny,13,37,4,6,0,0,1,2,0,0,7,0,15,0,0,0,1,0.162,0.243,0.295,0.538,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,MReyes539,2019,Purcellville Cannons,Valley League,Reyes,Manny,6,14,1,3,0,0,0,2,0,0,1,0,6,0,0,0,1,0.214,0.214,0.267,0.481,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JMarti545,2010,Lexington Hustlers,Great Lakes Collegiate League,Martin,Jake,13,56,7,13,1,0,0,1,2,2,3,0,4,1,0,0,1,0.232,0.25,0.271,0.521,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JMarti545,2017,Marthas Vineyard Sharks,Futures League,Martin,Jake,38,123,32,30,6,0,4,20,7,1,20,0,43,1,2,0,2,0.244,0.39,0.345,0.735,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AAsche566,2010,Clarinda As,MINK League,Ascherl,Austin,12,29,3,5,0,0,0,2,0,0,5,0,3,0,0,1,0,0.172,0.172,0.314,0.486,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AAsche566,2012,Clarinda As,MINK League,Ascherl,Austin,15,39,2,7,1,0,0,4,0,0,6,0,10,2,0,1,0,0.179,0.205,0.304,0.509,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AAsche566,2013,Clarinda As,MINK League,Ascherl,Austin,31,93,9,25,1,0,0,8,0,1,10,0,13,7,0,2,2,0.269,0.28,0.352,0.632,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,AAsche566,2015,Clarinda As,MINK League,Ascherl,Austin,2,6,1,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0.167,0.333,0.444,0.777,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,RMoore578,2010,Santa Barbara Foresters,California Collegiate League,Moore,Riley,11,19,3,7,2,0,0,4,0,0,4,0,5,1,0,2,0,0.368,0.474,0.52,0.994,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,RMoore578,2016,Kelowna Falcons,West Coast League,Moore,Riley,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333,0.333,0.333,0.666,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,HSmith600,2010,DeLand Suns,Florida Collegiate League,Smith,Hunter,10,36,2,8,0,0,0,3,0,0,6,0,12,0,0,1,0,0.222,0.222,0.349,0.571,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,HSmith600,2019,Richmond Jazz,Great Lakes Collegiate League,Smith,Hunter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,JWilli717,2010,Fayetteville SwampDogs,Coastal Plain League,Williams,Jordan,5,13,1,1,0,0,0,0,0,0,1,0,6,1,0,0,0,0.077,0.077,0.143,0.22,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,JWilli717,2017,Neptune Beach Pearl,California Collegiate League,Williams,Jordan,39,147,32,51,10,1,1,22,15,4,12,0,10,1,1,2,4,0.347,0.449,0.401,0.85,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
3,JWilli717,2019,Liberal Bee Jays,Kansas Collegiate League,Williams,Jordan,34,119,28,37,4,0,1,18,0,2,29,0,14,1,2,1,0,0.311,0.37,0.444,0.814,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,Lewis765,2010,Anchorage Glacier Pilots,Alaska Summer League,Lewis,,3,5,0,1,0,0,0,0,0,0,4,0,2,0,0,1,0,0.2,0.2,0.6,0.8,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,Lewis765,2016,Bethany Bulls,Jayhawk League,Lewis,,1,5,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0.4,0.4,0.4,0.8,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,TJones816,2010,Stark County Terriers,Great Lakes Collegiate League,Jones,Tyler,2,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.25,0.25,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,TJones816,2017,Morehead City Marlins,Coastal Plain League,Jones,Tyler,7,8,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.111,0.111,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,TJones816,2018,Edenton Steamers,Coastal Plain League,Jones,Tyler,31,89,14,23,2,0,0,6,1,0,9,0,22,7,2,2,3,0.258,0.281,0.333,0.614,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,THamil817,2010,Oahu Paddlers,Hawaii Collegiate League,Hamilton,Tyler,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,THamil817,2015,Corvallis Knights,West Coast League,Hamilton,Tyler,6,10,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0.2,0.2,0.273,0.473,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,MJacks828,2010,Niagara Power,New York Collegiate,Jackson,Matt,2,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,0.2,0,0.2,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,MJacks828,2016,Rochester Ridgemen,New York Collegiate,Jackson,Matt,34,94,8,26,4,0,1,12,0,0,12,0,19,0,2,6,6,0.277,0.351,0.386,0.737,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,SMurph837,2010,Kelowna Falcons,West Coast League,Murphy,Sean,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,1.5,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
2,SMurph837,2019,Westfield Starfires,Futures League,Murphy,Sean,38,114,12,32,4,0,3,18,1,0,12,0,32,1,1,2,4,0.281,0.395,0.357,0.752,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
1,BJohns844,2010,Matsu Miners,Alaska Summer League,Johnson,Brandon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,"--,--",,0,0,0,,,,,NA,4
