"playerID","yearID","teamID","lgID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","IBB","SO","SH","SF","HBP","GIDP"
"184713",2014,"Acadiana Cane Cutters","Texas Collegiate League",38,102,15,23,3,1,0,11,7,1,10,0,23,1,2,5,1
"186040",2014,"Madison Mallards","Northwoods League",53,181,23,37,5,0,3,22,2,3,21,0,26,0,5,4,4
"173869",2014,"Peninsula Pilots","Coastal Plain League",42,160,26,57,7,4,0,28,8,3,12,0,26,3,1,8,3
"188014",2014,"PUF Caps","California Collegiate League",23,88,9,15,2,0,1,7,1,0,14,0,34,0,0,2,0
"185709",2014,"Mystic Schooners","New England Collegiate League",39,135,19,44,9,1,3,21,9,5,17,0,41,1,2,1,3
"186854",2014,"Waterloo Bucks","Northwoods League",39,152,28,43,8,1,4,17,6,0,6,0,22,1,0,2,4
"203905",2014,"St. Josephs Mustangs","MINK League",25,92,16,28,2,1,0,9,4,0,20,0,16,0,0,1,1
"184718",2014,"Victoria Generals","Texas Collegiate League",21,62,6,14,0,0,0,5,3,1,7,0,13,0,0,4,2
"203505",2014,"Neptune Beach Pearl","California Collegiate League",23,73,4,10,3,0,0,5,1,2,10,0,13,0,0,1,1
"175800",2014,"Battle Creek Bombers","Northwoods League",37,102,10,19,4,0,0,11,9,3,3,0,22,1,2,1,3
"171274",2014,"Chatham Anglers","Cape Cod League",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196057",2014,"Brazos Valley Bombers","Texas Collegiate League",48,171,43,43,8,0,1,16,13,4,31,0,34,2,1,7,0
"203039",2014,"Mystic Schooners","New England Collegiate League",22,68,8,11,1,0,3,9,0,1,11,0,30,0,0,3,2
"171194",2014,"Harwich Mariners","Cape Cod League",24,87,13,23,2,1,3,20,5,2,7,0,13,1,5,1,4
"183339",2014,"Brazos Valley Bombers","Texas Collegiate League",53,178,35,57,8,0,2,30,18,7,36,0,16,5,3,7,2
"175804",2014,"Pineville Pioneers","Southern Collegiate League",30,80,18,28,2,1,0,7,9,2,8,0,5,2,0,3,1
"188482",2014,"Silver Spring-Takoma T-Bolts","Cal Ripken League",34,95,10,18,1,0,0,2,6,2,10,0,14,3,0,3,1
"173918",2014,"Yarmouth-Dennis Red Sox ","Cape Cod League",11,27,3,3,0,0,1,1,0,0,1,0,10,0,0,0,1
"173918",2014,"Martinsville Mustangs","Coastal Plain League",21,80,11,26,3,1,0,18,6,1,4,0,8,1,2,1,0
"182997",2014,"Texas Marshals","Texas Collegiate League",31,93,6,19,3,1,3,8,1,0,6,0,26,1,4,1,2
"165481",2014,"Youses Orioles","Cal Ripken League",33,124,16,34,5,2,0,10,4,3,16,0,15,0,0,2,5
"183160",2014,"St. Cloud Rox","Northwoods League",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"170420",2014,"High Point-Thomasville HiToms","Coastal Plain League",17,59,12,17,3,1,2,6,2,1,6,0,12,1,0,2,2
"186722",2014,"New Bedford Bay Sox","New England Collegiate League",7,24,0,4,1,0,0,4,0,1,0,0,8,0,0,1,2
"174292",2014,"Woodstock River Bandits","Valley League",26,96,15,30,5,0,0,6,0,1,17,0,18,1,1,1,3
"174171",2014,"El Dorado Broncos","Jayhawk League",31,116,18,32,6,1,2,11,8,1,8,0,16,3,1,5,0
"173073",2014,"Woodstock River Bandits","Valley League",38,155,16,45,2,1,0,14,4,3,13,0,28,3,3,1,3
"193403",2014,"Statesville Owls","Southern Collegiate League",36,118,14,32,7,0,1,17,0,0,4,0,19,0,2,1,1
"185614",2014,"Cotuit Kettleers","Cape Cod League",20,73,6,20,2,0,0,3,0,1,2,0,8,1,0,0,5
"196146",2014,"Los Angeles Brewers","California Collegiate League",14,35,8,15,1,0,0,5,1,0,3,0,5,1,1,2,1
"184093",2014,"Grand Lake Mariners","Great Lakes Collegiate League",38,142,21,34,9,1,6,25,1,1,8,0,46,0,1,7,2
"185667",2014,"Omaha Diamond Spirit","MINK League",1,3,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
"194752",2014,"Xenia Scouts","Great Lakes Collegiate League",26,87,12,20,2,0,0,8,8,1,9,0,10,3,1,3,4
"185668",2014,"Acadiana Cane Cutters","Texas Collegiate League",44,81,13,16,0,0,0,2,12,0,9,0,29,1,0,6,0
"175809",2014,"Aldie Senators","Valley League",12,42,5,12,5,0,0,8,0,0,5,0,7,0,0,0,2
"194530",2014,"Danbury Westerners","New England Collegiate League",8,20,3,7,2,0,1,4,0,2,2,0,7,0,0,0,0
"168884",2014,"Lakeshore Chinooks","Northwoods League",21,55,3,10,3,0,0,4,2,2,9,0,10,2,0,0,1
"175812",2014,"Alexandria Blue Anchors","Northwoods League",11,42,3,7,0,0,1,3,0,0,2,0,11,0,0,0,1
"174401",2014,"Kalamazoo Growlers","Northwoods League",9,27,6,8,2,0,0,2,1,0,4,0,8,0,0,0,1
"174401",2014,"Madison Mallards","Northwoods League",4,13,2,3,0,0,1,3,1,2,2,0,1,0,0,0,1
"186797",2014,"Winchester Royals","Valley League",25,71,13,21,6,0,1,14,13,5,24,0,10,2,1,3,1
"203367",2014,"Sherrill Silversmiths","New York Collegiate",37,110,26,22,2,0,0,4,21,4,20,0,17,7,0,1,0
"185485",2014,"Staunton Braves","Valley League",5,5,0,2,0,0,0,2,0,0,2,0,0,0,0,1,1
"175814",2014,"East Texas PumpJacks","Texas Collegiate League",48,174,13,40,2,1,0,14,3,4,18,0,27,6,1,5,4
"188662",2014,"Kitsap BlueJackets","West Coast League",18,37,4,7,3,0,1,2,0,0,4,0,12,0,0,0,2
"174822",2014,"Laconia Muskrats","New England Collegiate League",15,22,4,3,0,0,1,4,0,1,2,0,5,1,1,1,0
"174822",2014,"Wilson Tobs","Coastal Plain League",13,40,5,6,0,0,0,2,3,2,3,0,8,2,0,1,1
"175267",2014,"Hyannis Harbor Hawks","Cape Cod League",28,65,7,11,4,0,0,10,2,0,5,0,26,1,0,2,3
"194198",2014,"Rockville Express","Cal Ripken League",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165246",2014,"Corvallis Knights","West Coast League",3,7,2,1,0,0,0,2,2,0,2,0,2,0,0,0,0
"186664",2014,"Bourne Braves","Cape Cod League",7,20,0,2,1,0,0,1,0,0,2,0,4,1,0,0,1
"186664",2014,"Wisconsin Woodchucks","Northwoods League",39,147,18,38,4,0,4,19,3,2,12,0,21,0,0,1,3
"168450",2014,"Kenosha Kingfish","Northwoods League",14,52,8,14,4,0,0,4,2,4,9,0,5,0,0,2,2
"169000",2014,"Green Bay Bullfrogs","Northwoods League",60,227,45,58,14,0,11,44,2,1,31,0,58,0,1,15,2
"174229",2014,"Mystic Schooners","New England Collegiate League",36,136,21,45,12,1,2,29,9,3,11,0,29,0,2,2,2
"170819",2014,"SLO Blues","California Collegiate League",37,138,20,46,16,3,4,38,2,0,14,0,32,3,3,4,2
"196354",2014,"Baltimore Redbirds","Cal Ripken League",39,146,26,45,10,1,0,22,10,0,16,0,26,0,3,1,5
"174321",2014,"Grand Lake Mariners","Great Lakes Collegiate League",31,113,15,27,2,4,2,11,0,0,5,0,30,0,0,0,1
"172905",2014,"Danbury Westerners","New England Collegiate League",18,53,14,13,3,1,0,6,2,2,14,0,13,0,0,7,2
"172905",2014,"Lakeshore Chinooks","Northwoods League",14,43,4,11,2,0,0,6,2,0,3,0,7,0,1,4,1
"193612",2014,"Lexington Hustlers","Great Lakes Collegiate League",13,36,3,8,1,0,0,3,0,0,6,0,9,1,0,2,1
"193613",2014,"Carolina Vipers","Southern Collegiate League",28,85,12,23,3,1,1,13,3,3,9,0,22,0,0,1,0
"185873",2014,"Carolina Vipers","Southern Collegiate League",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187610",2014,"South Jersey Giants","Atlantic Collegiate",37,133,21,48,13,2,2,24,1,1,10,0,12,0,3,2,2
"211517",2014,"Cortland Crush","New York Collegiate",27,78,8,22,4,0,2,8,2,1,2,0,13,2,0,1,0
"183046",2014,"Willmar Stingers","Northwoods League",49,199,33,57,12,1,3,31,12,2,15,0,57,0,3,2,5
"169691",2014,"College Park Freedom","Florida Collegiate League",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193175",2014,"Carolina Vipers","Southern Collegiate League",23,71,8,13,2,0,1,6,0,0,10,0,26,0,0,0,1
"196641",2014,"Rochester Honkers","Northwoods League",25,75,12,22,2,0,0,7,1,2,15,0,19,2,0,0,1
"176758",2014,"College Park Freedom","Florida Collegiate League",11,39,3,10,2,0,0,4,1,0,2,0,8,0,0,0,0
"185602",2014,"Walla Walla Sweets","West Coast League",32,116,25,33,7,0,1,12,0,1,14,0,26,0,0,4,2
"192769",2014,"Hamilton Joes","Great Lakes Collegiate League",27,90,10,19,3,0,1,15,1,0,6,0,23,1,1,3,1
"173357",2014,"Alexandria Aces","Cal Ripken League",18,51,7,8,3,0,0,5,0,1,9,0,9,2,1,0,0
"168913",2014,"Cowlitz Black Bears","West Coast League",24,69,7,14,3,1,1,4,1,4,7,0,13,6,1,5,1
"175830",2014,"Strasburg Express","Valley League",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"168987",2014,"Madison Mallards","Northwoods League",4,13,3,1,0,0,1,1,0,0,1,0,3,0,0,0,0
"186116",2014,"Conejo Oaks","California Collegiate League",24,61,14,9,3,2,0,2,0,0,13,0,20,2,1,3,2
"195555",2014,"Bend Elks","West Coast League",12,26,0,4,1,0,0,4,1,1,0,0,9,0,0,1,1
"193063",2014,"Alaska Goldpanners","Alaska Summer League",29,91,30,39,4,1,1,15,5,6,25,0,18,0,1,2,3
"200430",2014,"Eau Claire Express","Northwoods League",3,12,4,7,2,0,0,2,0,0,0,0,1,1,0,0,0
"168486",2014,"Wisconsin Rapids Rafters","Northwoods League",39,128,25,29,5,0,2,7,4,1,30,0,30,5,0,1,5
"185486",2014,"Wilmington Sharks","Coastal Plain League",27,76,9,14,2,0,0,6,3,1,18,0,18,1,1,1,2
"203879",2014,"Green Bay Bullfrogs","Northwoods League",25,72,8,15,0,0,0,11,2,0,6,0,23,4,1,3,0
"173722",2014,"Alaska Goldpanners","Alaska Summer League",26,84,21,26,4,1,4,23,0,0,15,0,14,2,2,4,6
"221502",2014,"Alexandria Blue Anchors","Northwoods League",26,85,19,25,4,0,4,16,0,1,27,0,28,0,0,4,0
"173478",2014,"Ballantyne Smokies","Southern Collegiate League",31,71,16,23,1,1,0,9,9,2,12,0,15,2,0,3,1
"185725",2014,"Hamilton Joes","Great Lakes Collegiate League",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"170072",2014,"Mystic Schooners","New England Collegiate League",22,68,8,16,5,1,1,9,1,1,4,0,9,1,1,0,1
"186562",2014,"Geneva Twins","New York Collegiate",29,86,18,22,3,0,0,12,4,1,18,0,9,1,1,3,2
"182942",2014,"Corvallis Knights","West Coast League",26,73,15,20,3,0,0,6,3,0,15,0,10,2,1,0,0
"165559",2014,"Southern Ohio Copperheads","Great Lakes Collegiate League",33,121,18,37,8,2,3,21,14,4,8,0,19,0,2,2,4
"175109",2014,"Southern Ohio Copperheads","Great Lakes Collegiate League",34,126,19,34,4,0,1,14,12,2,10,0,30,1,3,5,2
"206729",2014,"Lima Locos","Great Lakes Collegiate League",39,146,20,40,9,1,3,36,0,0,10,0,26,0,5,7,4
"193850",2014,"Cowlitz Black Bears","West Coast League",46,153,21,34,9,0,3,21,0,0,14,0,45,1,3,6,3
"204142",2014,"Sherrill Silversmiths","New York Collegiate",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"171138",2014,"Cotuit Kettleers","Cape Cod League",35,107,16,21,1,0,1,7,6,4,3,0,21,2,2,10,3
"185275",2014,"Green Bay Bullfrogs","Northwoods League",33,105,9,19,3,0,0,6,2,0,6,0,34,0,1,2,2
"169168",2014,"Kitsap BlueJackets","West Coast League",34,110,9,29,3,0,1,9,6,2,6,0,18,0,0,5,2
"175072",2014,"Wenatchee Apple Sox","West Coast League",49,175,30,59,13,1,3,38,1,3,19,0,35,1,1,8,4
"171185",2014,"Yarmouth-Dennis Red Sox ","Cape Cod League",33,78,9,19,1,0,1,8,2,2,13,0,16,1,0,1,1
"182923",2014,"Wisconsin Rapids Rafters","Northwoods League",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"165440",2014,"College Park Freedom","Florida Collegiate League",20,69,7,17,5,0,0,5,3,0,4,0,10,0,1,3,0
"193716",2014,"Yakima Valley Pippins","West Coast League",36,141,28,49,6,0,1,17,5,2,22,0,23,6,2,1,1
"147813",2014,"Academy Barons","California Collegiate League",15,54,7,12,0,2,0,6,4,0,5,0,19,0,0,1,1
"175839",2014,"Green Bay Bullfrogs","Northwoods League",58,176,26,47,14,0,0,25,11,6,18,0,37,6,2,5,2
"185686",2014,"Herndon Braves","Cal Ripken League",33,72,6,14,1,0,0,8,3,1,8,0,20,2,1,1,3
"221522",2014,"Silver Spring-Takoma T-Bolts","Cal Ripken League",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185285",2014,"Woodlands Strykers","Texas Collegiate League",34,114,15,24,6,0,1,12,6,1,13,0,26,2,2,0,3
"168225",2014,"Niagara Power","New York Collegiate",18,51,15,15,3,0,0,5,6,2,14,0,15,1,0,5,0
"173334",2014,"Duluth Huskies","Northwoods League",8,31,3,10,1,0,1,6,1,0,4,0,4,0,0,1,1
"188574",2014,"Southern Ohio Copperheads","Great Lakes Collegiate League",19,55,9,9,0,1,0,8,2,1,7,0,19,3,2,1,2
"170368",2014,"Eau Claire Express","Northwoods League",14,32,3,5,0,0,0,4,0,0,8,0,7,5,0,1,0
"185647",2014,"Dodge City As","Jayhawk League",33,142,26,43,9,0,3,20,4,1,11,0,11,1,0,1,0
"186855",2014,"Woodstock River Bandits","Valley League",37,143,19,38,2,1,2,21,2,1,7,0,30,5,1,3,3
"170890",2014,"Wisconsin Woodchucks","Northwoods League",30,121,19,40,7,0,2,14,11,2,7,0,14,1,2,0,1
"183749",2014,"SoCal Catch","California Collegiate League",43,167,30,40,8,1,0,10,25,4,15,0,31,1,0,8,0
"184657",2014,"Conejo Oaks","California Collegiate League",31,109,14,23,7,0,0,5,0,2,4,0,28,4,1,1,3
"221541",2014,"Branson Nationals","MINK League",35,104,13,23,3,0,1,3,4,1,11,0,30,3,0,1,3
"175848",2014,"Gaithersburg Giants","Cal Ripken League",20,67,13,14,0,0,0,4,11,2,8,0,13,1,0,1,0
"168215",2014,"Yarmouth-Dennis Red Sox ","Cape Cod League",22,69,13,21,3,0,2,11,1,0,12,0,8,0,0,3,0
"175849",2014,"Vienna River Dogs","Cal Ripken League",35,78,12,18,0,0,0,5,3,1,12,0,18,4,0,3,2
"176831",2014,"Cotuit Kettleers","Cape Cod League",3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"199273",2014,"Trenton Generals","Atlantic Collegiate",38,119,19,32,2,1,0,5,13,4,13,0,23,5,0,0,2
"170592",2014,"Pineville Pioneers","Southern Collegiate League",5,9,0,3,0,0,0,3,0,0,0,0,1,0,0,1,0
"175853",2014,"Quakertown Blazers","Atlantic Collegiate",28,89,18,27,8,0,1,14,2,0,9,0,9,0,1,0,3
"186974",2014,"Cortland Crush","New York Collegiate",27,40,6,1,0,0,0,2,2,0,8,0,13,1,0,0,1
"173237",2014,"Strasburg Express","Valley League",41,157,23,43,7,1,0,13,2,4,10,0,32,0,1,5,4
"174812",2014,"Wisconsin Rapids Rafters","Northwoods League",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"209592",2014,"Duluth Huskies","Northwoods League",36,141,17,35,7,0,1,21,0,0,10,0,20,1,2,0,5
"173026",2014,"Hornell Dodgers","New York Collegiate",44,184,42,63,9,2,0,36,8,2,24,0,21,0,2,7,3
"184697",2014,"Wenatchee Apple Sox","West Coast League",6,25,0,5,0,0,0,3,0,0,2,0,0,0,0,1,2
"175857",2014,"Cincinnati Steam","Great Lakes Collegiate League",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"169601",2014,"Asheboro Copperheads","Coastal Plain League",37,116,12,24,2,0,1,14,0,0,10,0,22,0,1,0,5
"173674",2014,"Peninsula Pilots","Coastal Plain League",43,136,16,29,5,0,4,27,5,2,16,0,38,1,4,3,0
